Topic,Keywords,Num_Docs,Children,Parent,Level
58,"['cosmogenic', 0.023481614887714386), 'production', 0.016148194670677185), 'sample', 0.016148194670677185), 'quartz', 0.01468150969594717), 'sand', 0.01321482565253973), 'mineral', 0.01321482565253973), '10be', 0.01321482565253973), 'pyroxene', 0.01321482565253973), '21ne', 0.01174814160913229), 'olivine', 0.010281456634402275)]",5,[],16,3
59,"['nzvi', 0.025606505572795868), 'removal', 0.02181435376405716), 'nitrate', 0.019918277859687805), 'water', 0.01802220195531845), 'iron', 0.017074164003133774), 'treatment', 0.011385936290025711), 'concentration', 0.009489860385656357), 'capacity', 0.00854182243347168), 'pollen', 0.00854182243347168), 'microbial', 0.00854182243347168)]",11,[],16,3
60,"['water', 0.016914213076233864), 'pvim', 0.016914213076233864), 'complex', 0.01353474985808134), 'polyelectrolyte', 0.01353474985808134), 'polymer', 0.010155286639928818), 'diffusion', 0.010155286639928818), 'chain', 0.008465555496513844), 'coefficient', 0.008465555496513844), 'fluorescence', 0.008465555496513844), 'coacervate', 0.008465555496513844)]",4,[],45,3
61,"['delta', 0.04049725458025932), 'bayhead', 0.029780546203255653), 'sea-level', 0.020254582166671753), 'coast', 0.019063835963606834), 'texas', 0.016682345420122147), 'modern', 0.015491599217057228), 'rise', 0.015491599217057228), 'coastal', 0.014300853945314884), 'subsidence', 0.014300853945314884), 'shoreline', 0.014300853945314884)]",5,[],16,3
62,"['treatment', 0.03678334504365921), 'ambient', 0.019368819892406464), 'wastewater', 0.015498926863074303), 'plant', 0.013563979417085648), 'removal', 0.013563979417085648), 'effluent', 0.011629032902419567), 'concentration', 0.011629032902419567), 'cept', 0.009694085456430912), 'persistence', 0.009694085456430912), 'direction', 0.007759138476103544)]",3,[],16,3
63,"['information', 0.015481107868254185), 'message', 0.011064243502914906), 'voter', 0.00885581225156784), 'voting', 0.00885581225156784), 'member', 0.00885581225156784), 'text', 0.00885581225156784), 'politician', 0.006647379603236914), 'corruption', 0.006647379603236914), 'incumbent', 0.006647379603236914), 'budget', 0.006647379603236914)]",4,[],47,3
64,"['holdout', 0.009857182390987873), 'microrefugia', 0.009857182390987873), 'microclimates', 0.009857182390987873), 'period', 0.007399031426757574), 'stepping', 0.007399031426757574), 'achieving', 0.007399031426757574), 'stone', 0.007399031426757574), 'successively', 0.00494088139384985), 'overlap', 0.00494088139384985), 'madagascar', 0.00494088139384985)]",6,[],41,3
65,"['rock', 0.017311615869402885), 'dome', 0.014122843742370605), 'crustal', 0.013325651176273823), 'crust', 0.012528457678854465), 'metamorphism', 0.01127572637051344), 'exhumation', 0.010136879049241543), 'shear', 0.0096813403069973), 'zone', 0.00945357047021389), 'deformation', 0.009225800633430481), 'monazite', 0.009111916646361351)]",83,[],16,3
66,"['change', 0.0172853022813797), 'cambio', 0.01440681703388691), 'clim', 0.012967574410140514), 'climate', 0.012967574410140514), 'tico', 0.01152833178639412), 'sur', 0.010089089162647724), 'efectos', 0.008649847470223904), 'fish', 0.008649847470223904), 'effets', 0.0072106048464775085), 'poissons', 0.0072106048464775085)]",2,[],72,3
67,"['network', 0.06432169675827026), 'brain', 0.03463856503367424), 'functional', 0.017323404550552368), 'human', 0.015674343332648277), 'structural', 0.014849810861051083), 'connectivity', 0.014025279320776463), 'information', 0.013200747780501842), 'performance', 0.011551685631275177), 'structure', 0.010727154091000557), 'fmri', 0.009902622550725937)]",15,[],16,3
