id,Name,PI_primary_dept,PI_scholar_url,PI_scholar_keywords
91,John O'Donovan,Computer Science,https://scholar.google.com/citations?user=LKfYtakAAAAJ&view_op=list_works&sortby=pubdate,"AI/ML, Recommender Systems, Trust, Human-Computer Interaction"
133,Michelle O'Malley,Chemical Engineering,https://scholar.google.com/citations?user=d3FwJjMAAAAJ&view_op=list_works&sortby=pubdate,"anaerobic fungi, microbial consortia, bioengineering, sustainability, membrane proteins"
72,Todd Oakley,EEMB,https://scholar.google.com/citations?user=kztqPjYAAAAJ&view_op=list_works&sortby=pubdate,"Macroevolution, Phylogenetics, Invertebrate Zoology, Bioluminescence, Opsin"
92,Carter Ohlmann,ERI,https://scholar.google.com/citations?user=QWzlRW0AAAAJ&view_op=list_works&sortby=pubdate,oceanography
73,Ryoko Oono,EEMB,https://scholar.google.com/citations?user=GaabAg8AAAAJ&view_op=list_works&sortby=pubdate,
180,Uta Passow,Marine Science Institute,https://scholar.google.com/citations?user=tmsLvH0AAAAJ&view_op=list_works&sortby=pubdate,Biological Oceanography
91,David Pellow,Environmental Studies,none,none
92,Debra Perrone,Environmental Studies,https://scholar.google.com/citations?user=BmbVaAgAAAAJ&view_op=list_works&sortby=pubdate,"Water, Energy, Food"
93,Andrew Plantinga,Bren,https://scholar.google.com/citations?user=mmfntE0AAAAJ&view_op=list_works&sortby=pubdate,Environmental economics
44,Susannah Porter,Earth Science,https://scholar.google.com/citations?user=O_Fcmwy21PIC&view_op=list_works&sortby=pubdate,Paleobiology
181,Margarita Portnykh,ERI,none,none
21,Matthew Potoski,Bren,https://scholar.google.com/citations?user=mruBPJUAAAAJ&view_op=list_works&sortby=pubdate,
74,Stephen Proulx,EEMB,https://scholar.google.com/citations?user=5y_dK0oAAAAJ&view_op=list_works&sortby=pubdate,"Evolution, population genetics, behavioral ecology, life history"
95,Simone Pulver,Environmental Studies,https://scholar.google.com/citations?user=rsyLfcEAAAAJ&view_op=list_works&sortby=pubdate,
96,Martin Raubal,Geography,https://scholar.google.com/citations?user=EjJ4kswAAAAJ&view_op=list_works&sortby=pubdate,Geographic Information Science
45,Morgan Raven,Earth Science,https://scholar.google.com/citations?user=KtVrxIcAAAAJ&view_op=list_works&sortby=pubdate,"Sulfur biogeochemistry, carbon cycling, geobiology"
97,Daniel Reed,Marine Science Institute,https://scholar.google.com/citations?user=8I3rAqsAAAAJ&view_op=list_works&sortby=pubdate,marine ecology
75,William Rice,EEMB,https://scholar.google.com/citations?user=OtbhlmIAAAAJ&view_op=list_works&sortby=pubdate,"evolution, genetics, ecology, biometry, statistics"
183,Leigh Ann Riedman,ERI,https://scholar.google.com/citations?user=OfeDETgAAAAJ&view_op=list_works&sortby=pubdate,Paleontology
98,Matthew Rioux,ERI,https://scholar.google.com/citations?user=n4zOvXkAAAAJ&view_op=list_works&sortby=pubdate,Geology
185,Karl Rittger,,https://scholar.google.com/citations?user=A_Xh-x8AAAAJ&view_op=list_works&sortby=pubdate,Snow hydrology
99,Dar Roberts,Geography,https://scholar.google.com/citations?user=v5VGkXMAAAAJ&view_op=list_works&sortby=pubdate,Remote sensing
186,Leonel Romero,ERI,https://scholar.google.com/citations?user=NZtZHmEgTw4C&view_op=list_works&sortby=pubdate,"upper ocean processes, ocean waves, air-sea interaction, coastal processes"
101,Dylan Rood,ERI,https://scholar.google.com/citations?user=vjpTSA8AAAAJ&view_op=list_works&sortby=pubdate,"Cosmogenic Isotopes & Accelerator Mass …, Tectonic Geomorphology, Climate Change, Earthquake Hazards"
46,Roberta Rudnick,Earth Science,https://scholar.google.com/citations?user=ocbjavsAAAAJ&view_op=list_works&sortby=pubdate,"Geology, Geochemistry, Geophysics, Lithium Isotopes"
102,Sadie Ryan,NCEAS,https://scholar.google.com/citations?user=pPLqtm0AAAAJ&view_op=list_works&sortby=pubdate,"Medical Geography, Disease Ecology, Conservation Biology, Population Ecology, Landscape Ecology"
103,Cyrus Safinya,Materials ,https://scholar.google.com/citations?user=ZP1S8FYAAAAJ&view_op=list_works&sortby=pubdate,"Biophysics, Biomolecular Materials, Self-Assembly, SAXS, Liquid Crystals"
22,James Salzman,Bren,https://scholar.google.com/citations?user=qD5L-u0AAAAJ&view_op=list_works&sortby=pubdate,"environmental law, environmental policy, environmental economics"
76,Alyson Santoro,EEMB,https://scholar.google.com/citations?user=TsZjKA4AAAAJ&view_op=list_works&sortby=pubdate,"marine microbial ecology, marine archaea, nitrogen cycling, oceanography"
104,Joshua Schimel,EEMB,https://scholar.google.com/citations?user=uzDaznAAAAAJ&view_op=list_works&sortby=pubdate,"soil science, ecology, arctic science, microbial ecology"
77,Russell Schmitt,EEMB,https://scholar.google.com/citations?user=sFIZSUYAAAAJ&view_op=list_works&sortby=pubdate,"Population & Community Ecology, Marine Ecology"
105,Diane Schweizer,ICESS,none,none
106,Sandra Seale,ERI,none,none
189,Katja Seltmann,CCBER,https://scholar.google.com/citations?user=gsh_xxoAAAAJ&view_op=list_works&sortby=pubdate,"biodiversity informatics, entomology, natural history collections"
107,Jiancheng Shi,ERI,https://scholar.google.com/citations?user=LMhQkYAAAAAJ&view_op=list_works&sortby=pubdate,"water cycle, hydrology, water resources, remote sensing"
126,David Siegel,Geography,https://scholar.google.com/citations?user=i5ZL1ywAAAAJ&view_op=list_works&sortby=pubdate,"Oceanography, Marine Science, Biogeochemistry, Remote Sensing, Spatial Ecology"
109,Thiago Silva,ERI,https://scholar.google.com/citations?user=hpPTEmcAAAAJ&view_op=list_works&sortby=pubdate,"ecosystems ecology, plant ecology, macroecology, climate change, remote sensing"
110,Alexander Simms,Earth Science,https://scholar.google.com/citations?user=1pt8QIsAAAAJ&view_op=list_works&sortby=pubdate,"Sedimentology, Coastal Geology, Quaternary Science, Antarctica"
111,Rachel Simons,ERI,https://scholar.google.com/citations?user=gAHeXcUAAAAJ&view_op=list_works&sortby=pubdate,Coastal Oceanography
